Age,Gender,Country,Employment_Status,Annual_Income,Current_Savings,Retirement_Age_Goal,Risk_Tolerance,Contribution_Amount,Contribution_Frequency,Employer_Contribution,Total_Annual_Contribution,Years_Contributed,Investment_Type,Fund_Name,Annual_Return_Rate,Volatility,Fees_Percentage,Projected_Pension_Amount,Expected_Annual_Payout,Inflation_Adjusted_Payout,Years_of_Payout,Survivor_Benefits,Transaction_Amount,Transaction_Date,Suspicious_Flag,Anomaly_Score,Marital_Status,Number_of_Dependents,Education_Level,Health_Status,Life_Expectancy_Estimate,Home_Ownership_Status,Debt_Level,Monthly_Expenses,Savings_Rate,Investment_Experience_Level,Financial_Goals,Insurance_Coverage,Portfolio_Diversity_Score,Tax_Benefits_Eligibility,Government_Pension_Eligibility,Private_Pension_Eligibility,Pension_Type,Withdrawal_Strategy,Transaction_Channel,Geo_Location,Time_of_Transaction,Transaction_Pattern_Score,Previous_Fraud_Flag,Account_Age
47,Male,Germany,Retired,144442,174937,61,High,1419,Annually,784,17781,31,Stocks,Ramirez-Jenkins,6.27,2.75,0.17,608179,22049,36064,19,Yes,9083,11/21/2020,No,0.24,Divorced,1,Master's,Poor,91,Mortgage,188588,7357,0.26,Expert,Healthcare,No,0.26,Yes,Yes,No,Defined Contribution,Fixed,ATM,Lake Teresaport,20:21:29,0.41,No,15
42,Male,UK,Retired,96154,143629,67,High,1214,Monthly,989,21895,34,Mutual Fund,Meza PLC,3.56,4.4,1.82,382268,36562,68236,12,No,9796,4/1/2023,No,0.46,Widowed,2,PhD,Poor,82,Rent,149314,1884,0.27,Expert,Healthcare,No,0.17,No,No,Yes,Defined Contribution,Dynamic,Branch,Buchananview,3:06:44,0.22,Yes,9
55,Female,Canada,Full-time,96832,148450,67,Low,1801,Annually,697,4371,25,Mutual Fund,Norris-Good,6.31,3.65,0.17,512537,50735,54777,13,Yes,9929,1/18/2023,No,0.02,Single,3,Master's,Poor,89,Mortgage,2833,8455,0.13,Beginner,Travel,No,0.49,Yes,Yes,No,Defined Benefit,Fixed,ATM,West Danielville,11:05:17,0.89,No,15
63,Male,Australia,Part-time,79098,269368,69,High,919,Monthly,200,10856,3,Stocks,"Richardson, Stevenson and Pollard",11.12,0.7,1.17,840786,76510,26613,19,Yes,2736,9/24/2023,No,0.68,Married,0,Master's,Average,90,Mortgage,86797,4643,0.28,Beginner,Healthcare,No,0.62,No,Yes,Yes,Defined Benefit,Fixed,ATM,New Garyside,9:01:58,0.37,No,18
33,Male,Australia,Full-time,42741,190831,62,Medium,714,Monthly,790,10788,34,Real Estate,Reyes Inc,3.72,0.67,0.98,469173,51261,8946,16,No,2434,4/6/2024,No,0.77,Divorced,0,PhD,Good,86,Own,75203,6174,0.29,Beginner,Home Purchase,Yes,0.89,Yes,No,No,Defined Benefit,Dynamic,Online,Port Austin,8:26:09,0.32,No,18
56,Male,UK,Self-employed,112787,131208,65,Medium,322,Monthly,229,3953,22,Mutual Fund,Haas Ltd,2.4,2.29,1.46,284423,47625,55775,19,No,1186,3/31/2023,No,0.98,Single,4,Bachelor's,Good,78,Rent,146920,5911,0.24,Beginner,Travel,Yes,0.51,Yes,No,Yes,Defined Contribution,Fixed,Branch,Lake Janiceberg,16:06:05,0.31,No,4
59,Other,Australia,Self-employed,138529,442824,62,Low,1003,Quarterly,869,7471,17,ETF,Pierce Group,4.47,0.76,0.46,458261,61300,15553,16,Yes,8239,7/4/2025,No,0.34,Married,3,Bachelor's,Average,81,Rent,102957,3180,0.14,Intermediate,Legacy Planning,Yes,0.81,Yes,No,Yes,Defined Benefit,Fixed,Online,Donchester,22:41:10,0.36,No,20
64,Female,Canada,Part-time,93807,59514,69,High,1875,Monthly,47,22773,13,Stocks,Dickerson-Gonzalez,3.46,3.44,1.74,550208,77977,14680,14,Yes,2503,8/14/2020,No,0.05,Widowed,1,Master's,Poor,86,Own,95756,6768,0.28,Expert,Legacy Planning,Yes,0.5,Yes,Yes,Yes,Defined Benefit,Fixed,ATM,Port Kerry,7:24:54,0.88,No,24
56,Other,Canada,Full-time,129427,68673,68,Low,1180,Quarterly,589,23682,17,Mutual Fund,"Pratt, Long and Hudson",5.91,3.26,1.29,767216,63561,34651,28,Yes,4577,5/26/2020,No,0.49,Widowed,0,Master's,Average,78,Mortgage,11133,8124,0.22,Beginner,Legacy Planning,Yes,0.82,Yes,No,No,Defined Contribution,Dynamic,Online,North James,4:46:22,0.49,No,25
61,Male,UK,Full-time,50087,391513,69,Medium,1307,Quarterly,220,23864,11,Stocks,Johnson Inc,6.55,4.57,0.13,606131,44081,65298,23,No,7363,6/27/2023,Yes,0.51,Single,2,High School,Good,81,Own,148159,6372,0.14,Intermediate,Legacy Planning,No,0.35,Yes,Yes,No,Defined Benefit,Bucket,ATM,Rodriguezchester,21:31:42,0.42,No,19
39,Female,UK,Part-time,105878,218430,62,Low,159,Quarterly,934,1881,8,Bonds,Nelson and Sons,8.49,3.16,1.96,514512,43986,70441,12,No,8813,3/2/2021,No,0,Married,1,PhD,Average,82,Own,190883,9130,0.07,Beginner,Travel,Yes,0.91,Yes,Yes,Yes,Defined Contribution,Fixed,Branch,Watkinsfort,0:59:30,0.92,No,26
33,Male,USA,Unemployed,63786,131376,66,Low,706,Quarterly,360,8106,27,Stocks,Conley LLC,7.63,4.59,1.44,68222,72055,46771,18,Yes,8996,1/12/2020,No,0.27,Divorced,0,Master's,Good,88,Own,121332,3230,0.21,Beginner,Travel,Yes,0.36,No,Yes,No,Defined Contribution,Bucket,Branch,Christophermouth,11:41:22,0.62,No,14
37,Female,Germany,Retired,59805,417027,68,Low,1759,Quarterly,949,16875,21,Stocks,Villa-Moss,4.38,3.56,1.11,101369,51181,8350,24,No,5595,8/26/2020,No,0.63,Divorced,1,PhD,Average,93,Rent,93446,1926,0.16,Expert,Healthcare,No,0.77,No,No,Yes,Defined Contribution,Dynamic,ATM,New Davidview,1:49:54,0.45,No,5
32,Male,Canada,Self-employed,136828,265276,67,Medium,995,Monthly,434,19701,15,Mutual Fund,Gill Group,4.05,1.7,1.35,796022,39054,18546,26,Yes,4246,9/7/2020,No,0.79,Married,3,Bachelor's,Poor,92,Own,107874,2913,0.2,Beginner,Travel,No,0.81,Yes,No,No,Defined Contribution,Dynamic,Branch,Bakerside,15:54:37,0.39,No,26
30,Other,Canada,Part-time,31887,16385,67,High,1148,Quarterly,521,18690,24,Stocks,Malone Ltd,10.85,3.84,0.87,393837,21353,59022,25,No,6734,4/8/2020,No,0.52,Widowed,0,High School,Good,90,Rent,68313,7141,0.11,Beginner,Travel,No,0.61,No,No,No,Defined Benefit,Fixed,Branch,Jonesmouth,14:39:44,0.92,No,24
41,Male,Australia,Part-time,55688,350508,63,High,357,Annually,977,9061,19,ETF,"Tran, Todd and Parks",7.36,0.91,1.55,203391,13120,25665,20,No,9184,3/5/2022,No,0.02,Divorced,4,High School,Poor,78,Own,41014,3000,0.1,Intermediate,Travel,Yes,0.62,Yes,No,No,Defined Contribution,Bucket,ATM,Lake Desireeberg,14:05:00,0.04,No,9
53,Male,Canada,Part-time,37758,160027,65,Medium,1270,Monthly,365,15867,16,Stocks,Calderon Ltd,2.27,3.78,1.23,182464,57134,72711,15,No,7362,7/6/2021,No,0.53,Married,3,PhD,Good,93,Rent,197209,7086,0.09,Beginner,Travel,No,0.59,Yes,Yes,Yes,Defined Contribution,Dynamic,Online,New Rebeccamouth,9:47:26,0.51,No,1
54,Male,Australia,Self-employed,44092,354938,62,High,1589,Monthly,853,13017,20,Bonds,Gonzalez PLC,10.66,1.84,0.63,734205,13897,18571,10,No,7288,1/12/2020,No,0.39,Single,3,Master's,Average,84,Rent,56555,6541,0.15,Expert,Healthcare,Yes,0.74,Yes,Yes,No,Defined Contribution,Dynamic,ATM,East Sheilamouth,12:44:45,0.24,Yes,1
62,Male,Canada,Self-employed,89214,136238,64,Low,1561,Annually,666,22511,15,Bonds,"Williams, Gonzalez and Mcintyre",3.99,2.71,0.99,439951,22276,50337,19,No,6686,1/1/2024,No,0.1,Single,3,Master's,Poor,89,Mortgage,45375,2335,0.2,Intermediate,Legacy Planning,Yes,0.18,Yes,No,Yes,Defined Benefit,Dynamic,ATM,Lake Virginia,14:50:53,0.87,No,17
33,Female,Germany,Retired,87924,498606,69,High,680,Quarterly,240,4157,7,Real Estate,Bennett-Freeman,9.39,3.79,0.69,980910,35353,71167,28,Yes,4111,2/17/2025,No,0.68,Divorced,0,High School,Average,86,Rent,134930,6695,0.1,Intermediate,Travel,Yes,0.52,No,Yes,No,Defined Contribution,Bucket,ATM,Thomastown,15:06:44,0.42,No,23
26,Other,Germany,Full-time,123620,388730,60,Medium,1001,Annually,936,21797,8,Bonds,"Griffin, Maynard and Leon",7.56,3.4,1.44,444437,24284,63802,23,No,337,6/2/2021,No,0.05,Married,0,Bachelor's,Good,94,Rent,158099,3737,0.17,Beginner,Healthcare,No,0.78,Yes,No,No,Defined Benefit,Bucket,ATM,Lake Johnshire,14:39:38,0.41,No,15
41,Female,USA,Retired,35832,131696,67,Low,1188,Monthly,166,23559,1,Stocks,"Ross, Whitney and Wade",5.66,0.9,0.52,667015,70480,9904,10,No,4322,12/14/2021,No,0.35,Single,2,High School,Poor,93,Own,67273,4358,0.09,Intermediate,Home Purchase,Yes,0.37,No,No,No,Defined Contribution,Bucket,ATM,Mahoneytown,6:52:33,0.81,No,4
60,Female,Canada,Part-time,48414,47332,60,High,864,Annually,723,19625,31,Bonds,"Mckenzie, Williams and Ali",5.48,2.22,0.96,771064,27019,40666,16,Yes,8923,7/31/2024,No,0.99,Widowed,3,Master's,Average,75,Mortgage,93823,9782,0.08,Expert,Home Purchase,Yes,0.15,Yes,No,No,Defined Benefit,Dynamic,Branch,New Jennifer,2:43:51,0.14,No,20
55,Other,Germany,Full-time,87791,191462,65,Low,484,Quarterly,734,3950,2,ETF,Hunter-Odonnell,2.91,1.76,1.83,283837,35403,29765,22,Yes,3187,1/7/2021,No,0.95,Divorced,1,PhD,Good,89,Rent,180079,3078,0.05,Beginner,Home Purchase,Yes,0.6,Yes,Yes,Yes,Defined Contribution,Bucket,Branch,New Robert,8:58:46,0.01,No,15
52,Other,UK,Part-time,135137,87294,60,Medium,1320,Annually,363,23478,2,ETF,Martin PLC,5.39,1.4,0.33,105828,55105,32102,11,No,1666,4/16/2021,No,0.49,Married,4,High School,Good,86,Own,95986,6667,0.12,Beginner,Legacy Planning,No,0.94,Yes,No,No,Defined Contribution,Bucket,Online,Victoriaberg,19:30:11,0.68,No,10
59,Other,USA,Retired,65895,111842,63,Medium,374,Quarterly,731,22205,35,Real Estate,Fox-Kim,11.93,1.58,0.48,484177,22461,42714,27,No,3059,3/19/2021,No,0.48,Widowed,3,Bachelor's,Average,93,Own,6241,6558,0.21,Beginner,Home Purchase,No,0.59,Yes,No,Yes,Defined Contribution,Bucket,ATM,Billshire,14:58:36,0.95,No,12
30,Other,Canada,Self-employed,90542,346737,65,High,833,Quarterly,930,7749,11,ETF,Cox-Diaz,8.57,1.88,1.38,128915,62812,49839,26,Yes,5827,6/27/2022,No,0,Divorced,0,High School,Good,90,Mortgage,161344,3467,0.13,Beginner,Travel,Yes,0.54,Yes,Yes,No,Defined Benefit,Fixed,Online,Theresabury,4:59:31,0.26,No,18
41,Male,Germany,Self-employed,65766,236859,61,Low,360,Quarterly,321,14391,19,ETF,"Wallace, Hernandez and Mccarthy",3.15,2.69,0.42,962725,18758,69058,28,No,1903,12/20/2023,Yes,0.14,Widowed,2,Master's,Good,88,Rent,6648,1615,0.15,Beginner,Travel,No,0.29,Yes,Yes,No,Defined Contribution,Dynamic,Online,Roberttown,2:01:18,0.41,No,13
40,Male,Germany,Retired,132645,478464,60,High,110,Monthly,642,3589,27,Bonds,"Gonzalez, Ochoa and Malone",7.31,2.87,0.84,365213,29338,18593,21,Yes,8169,10/19/2024,No,0.75,Single,3,Bachelor's,Poor,77,Own,115691,3522,0.22,Beginner,Legacy Planning,Yes,0.22,Yes,Yes,No,Defined Contribution,Fixed,Branch,Port Jeffrey,13:50:45,0.08,Yes,29
29,Male,Germany,Unemployed,87895,272309,68,High,1198,Annually,603,22486,35,ETF,Butler-Carroll,5.49,0.62,1.43,925972,65782,30359,25,No,2197,11/27/2024,Yes,0.77,Divorced,4,High School,Average,89,Mortgage,187195,4708,0.08,Intermediate,Healthcare,No,0.18,Yes,No,No,Defined Benefit,Bucket,Branch,West Eileen,10:32:57,0.62,No,2
30,Female,Germany,Unemployed,125464,359574,60,High,508,Quarterly,622,5306,7,Bonds,Cruz-Collins,9.21,2.73,0.26,700766,22731,66658,24,No,6665,1/22/2025,No,0.61,Single,1,Master's,Poor,82,Rent,76953,6504,0.25,Expert,Legacy Planning,Yes,0.28,Yes,Yes,No,Defined Contribution,Bucket,Branch,Weissfurt,12:04:43,0.48,Yes,26
51,Other,USA,Self-employed,76265,63844,67,High,1107,Monthly,870,12710,15,Stocks,"Johnson, Hooper and Rios",11.45,4.27,0.39,671930,49407,18438,23,No,6456,2/25/2024,No,0.76,Married,1,High School,Average,89,Own,177929,7232,0.15,Expert,Travel,No,0.76,Yes,No,No,Defined Contribution,Fixed,ATM,Jamesport,18:12:40,0.34,No,13
62,Female,Canada,Full-time,98557,9250,62,Low,227,Quarterly,426,17915,23,Mutual Fund,Sherman LLC,5.94,4.78,0.48,123256,76619,19413,24,No,8238,12/29/2024,No,0.94,Married,3,Master's,Average,89,Mortgage,37585,1816,0.17,Beginner,Legacy Planning,No,0.5,Yes,No,Yes,Defined Benefit,Dynamic,Branch,Barberberg,10:02:44,0.26,No,18
42,Female,UK,Self-employed,121284,432818,63,Low,1349,Monthly,807,16008,1,Stocks,"Baker, Rodriguez and Cox",2.76,1.74,1.71,962201,37107,52208,14,Yes,1867,6/18/2021,No,0.66,Widowed,4,Bachelor's,Average,90,Rent,3849,3924,0.09,Intermediate,Travel,No,0.25,No,No,Yes,Defined Contribution,Bucket,Branch,North Matthewland,8:02:34,0.61,No,4
28,Other,UK,Self-employed,49260,271216,60,Low,700,Annually,248,23696,17,Stocks,Schroeder LLC,8,0.69,0.44,500060,22260,72699,11,Yes,583,11/3/2021,No,0.76,Widowed,2,PhD,Poor,89,Mortgage,95541,9690,0.21,Beginner,Legacy Planning,Yes,0.59,Yes,No,No,Defined Benefit,Bucket,Branch,Paulmouth,16:02:28,0.91,No,3
58,Other,Canada,Self-employed,127943,300799,60,Medium,1030,Annually,322,8667,28,Mutual Fund,Hoover LLC,10.75,1.99,1.83,829759,37383,66167,25,No,422,3/28/2021,No,0.14,Married,2,Bachelor's,Average,83,Rent,27779,2043,0.06,Beginner,Legacy Planning,Yes,0.43,No,No,Yes,Defined Contribution,Fixed,ATM,Ruizburgh,17:18:22,0.57,No,17
28,Male,Australia,Full-time,133204,53269,65,Medium,1562,Annually,164,19002,21,ETF,Miller Ltd,11.74,2.03,1.01,464966,11432,61938,22,Yes,6409,4/5/2025,No,0.93,Divorced,3,Master's,Good,78,Mortgage,130097,6755,0.1,Expert,Healthcare,Yes,0.48,No,No,Yes,Defined Benefit,Fixed,Online,Tiffanyview,4:20:31,0.24,No,21
26,Male,Canada,Full-time,60304,113359,60,Medium,1512,Annually,569,21693,3,Mutual Fund,Walsh PLC,11.31,4.24,1.48,798733,29163,58814,16,Yes,8036,8/13/2022,No,0.9,Divorced,3,Bachelor's,Good,76,Mortgage,172464,3658,0.05,Intermediate,Travel,Yes,0.77,Yes,No,No,Defined Benefit,Dynamic,Online,Meganfort,6:55:54,0.45,No,21
34,Other,Germany,Self-employed,49141,340213,67,Low,891,Quarterly,995,3749,18,Mutual Fund,"Elliott, Miranda and Liu",3.23,0.61,1.32,610366,11748,61747,16,Yes,828,2/5/2024,No,0.47,Single,4,Bachelor's,Poor,86,Rent,113758,6022,0.2,Beginner,Travel,No,0.37,Yes,Yes,No,Defined Benefit,Dynamic,ATM,East William,2:24:42,0.82,No,16
33,Other,USA,Full-time,43655,193697,64,Low,1523,Annually,738,5976,27,ETF,Bates-Smith,11.59,1.93,1.88,583986,72492,37780,24,No,8711,8/8/2022,No,0.3,Divorced,0,Master's,Poor,94,Mortgage,159636,2596,0.25,Intermediate,Healthcare,Yes,0.23,Yes,Yes,No,Defined Contribution,Fixed,Branch,South William,2:23:12,0.85,No,19
42,Other,Australia,Part-time,103555,168523,64,Low,799,Quarterly,950,22374,7,Bonds,Humphrey Inc,7.73,3.92,1.88,764805,29801,11166,10,Yes,7889,9/8/2024,No,0.91,Married,1,Master's,Good,94,Rent,12716,5401,0.08,Expert,Healthcare,No,0.85,Yes,No,Yes,Defined Benefit,Bucket,ATM,Port Amanda,5:23:40,0.72,No,26
52,Female,USA,Retired,126591,145477,64,Medium,312,Quarterly,86,2536,15,ETF,Nelson PLC,7.6,2.3,0.3,302332,39896,35221,28,No,6371,8/30/2024,No,0.1,Married,2,PhD,Good,75,Mortgage,157563,9761,0.11,Intermediate,Travel,Yes,0.46,No,Yes,Yes,Defined Contribution,Bucket,ATM,New Michael,13:01:55,0.79,No,25
35,Other,Germany,Retired,78073,490889,64,Medium,881,Monthly,613,9244,8,Real Estate,Le-Martin,2.78,1.21,1.82,281240,72809,63315,16,No,4607,7/3/2020,No,0.17,Single,1,High School,Poor,93,Mortgage,146744,5195,0.12,Beginner,Travel,Yes,0.77,No,Yes,Yes,Defined Contribution,Fixed,Online,Teresatown,7:57:47,0.57,No,11
52,Male,UK,Retired,84278,29564,68,Low,844,Monthly,574,17039,26,Stocks,Norman-Pennington,9.15,4.02,0.83,823787,29052,73349,10,No,7348,8/19/2024,No,0.43,Single,4,Master's,Average,77,Rent,24408,3270,0.25,Intermediate,Legacy Planning,Yes,0.14,No,No,No,Defined Benefit,Bucket,Branch,New Tonyshire,11:10:17,0.94,No,23
57,Female,USA,Full-time,80469,402701,62,High,891,Annually,314,21343,7,ETF,Rivera Group,6.87,2.73,1.68,730356,74313,34728,26,Yes,4445,11/30/2024,No,0.62,Divorced,0,PhD,Poor,92,Mortgage,79776,3416,0.17,Expert,Home Purchase,Yes,0.38,Yes,No,Yes,Defined Contribution,Dynamic,Online,North Lindsay,1:22:51,0.26,No,12
51,Other,UK,Part-time,113484,91983,67,High,301,Annually,253,13856,27,Bonds,"Russell, Hall and Buchanan",11.79,1.91,1.13,746848,78457,15680,23,No,245,12/19/2023,No,0.63,Single,1,PhD,Poor,90,Mortgage,56738,2857,0.18,Beginner,Travel,No,0.76,No,No,No,Defined Contribution,Dynamic,ATM,Robertburgh,0:40:42,0.91,No,27
25,Female,Australia,Retired,127659,158023,63,Low,601,Monthly,817,20472,9,Bonds,"Parker, Watson and Jones",7.85,3.74,1.39,187241,13428,67580,10,No,3747,2/22/2023,No,0.1,Single,2,PhD,Poor,85,Own,195543,6148,0.12,Beginner,Travel,Yes,0.11,No,No,No,Defined Contribution,Fixed,Branch,New Adamshire,4:59:36,0.86,No,15
54,Male,UK,Unemployed,121579,372296,64,Medium,1746,Quarterly,614,1597,28,ETF,Mcdaniel-Martin,11.71,4.69,0.18,938937,17157,48760,15,No,7214,9/1/2020,No,0.34,Divorced,1,Master's,Poor,77,Rent,5858,4603,0.12,Intermediate,Legacy Planning,Yes,0.32,Yes,No,No,Defined Contribution,Bucket,ATM,West Patrickview,22:34:48,0.01,No,14
31,Male,UK,Part-time,62874,280343,69,High,1457,Annually,970,18036,16,Stocks,Carroll PLC,7.67,0.73,0.79,865664,27243,22866,22,No,2563,11/28/2021,No,0.88,Widowed,1,High School,Good,83,Rent,148285,2384,0.13,Expert,Healthcare,No,0.22,Yes,Yes,No,Defined Benefit,Fixed,ATM,West Aaron,1:21:35,0.72,No,11
59,Female,Germany,Retired,103248,208584,64,High,1158,Monthly,851,22763,8,Stocks,Elliott-Huerta,2.35,4.78,0.58,724668,44256,71424,17,Yes,1688,7/5/2025,No,0.3,Widowed,1,PhD,Average,78,Own,163008,2976,0.23,Expert,Legacy Planning,Yes,0.12,Yes,No,Yes,Defined Contribution,Bucket,Branch,Joseburgh,15:06:02,0.49,No,5
39,Female,Canada,Self-employed,79646,174630,67,High,966,Annually,949,15951,10,Stocks,"Dudley, Vincent and Acosta",6.75,1.19,1.46,234354,33820,9491,28,Yes,1882,11/1/2022,No,0.39,Widowed,2,Bachelor's,Poor,91,Own,2366,2674,0.07,Expert,Healthcare,No,0.98,Yes,No,Yes,Defined Contribution,Dynamic,Branch,Obrientown,8:35:16,0.51,No,1
33,Female,UK,Unemployed,137803,298988,61,Low,458,Quarterly,268,22636,8,Stocks,Holmes-Harvey,6.8,4.83,0.91,793843,14522,65792,24,No,2602,4/29/2023,No,0.6,Divorced,3,High School,Poor,86,Own,170,3718,0.14,Intermediate,Healthcare,No,0.59,No,Yes,Yes,Defined Benefit,Dynamic,ATM,Robertville,10:34:55,0.99,No,15
44,Female,Australia,Retired,94921,463647,63,High,217,Monthly,640,3932,16,ETF,"Chambers, Frye and King",6.11,3.21,0.41,367801,73587,36459,14,Yes,6629,9/26/2021,No,0.85,Married,2,High School,Poor,85,Mortgage,110211,2780,0.29,Beginner,Travel,No,0.76,Yes,Yes,Yes,Defined Benefit,Dynamic,Online,Lake Christopher,12:33:16,0.09,No,1
42,Male,Canada,Self-employed,126261,389481,68,High,119,Quarterly,338,6862,14,ETF,"Castillo, Baldwin and Campbell",11.88,1.34,1.94,768163,57307,16069,13,Yes,400,4/25/2022,No,0.9,Widowed,1,PhD,Poor,75,Rent,197100,3880,0.25,Intermediate,Legacy Planning,Yes,0.41,Yes,No,Yes,Defined Contribution,Fixed,ATM,Reynoldsborough,18:51:12,0.53,No,24
28,Male,Australia,Self-employed,115411,36749,69,Low,314,Monthly,636,21200,1,Real Estate,"Richmond, Johns and Wilson",4.41,2.54,1.79,339630,71928,29961,12,Yes,6426,6/27/2023,No,0.67,Widowed,2,PhD,Good,80,Own,171053,4915,0.25,Intermediate,Home Purchase,No,0.55,Yes,No,Yes,Defined Benefit,Bucket,ATM,Mejiahaven,10:07:23,0.93,No,29
64,Male,Germany,Retired,50029,217499,61,High,212,Quarterly,843,10092,9,ETF,Hernandez LLC,7.2,4.28,0.81,152797,33780,61240,29,Yes,4778,12/29/2023,No,0.39,Divorced,4,Master's,Good,79,Rent,13816,6726,0.11,Expert,Legacy Planning,No,0.55,Yes,Yes,No,Defined Contribution,Fixed,Branch,Christinechester,3:43:27,0.67,No,16
41,Female,Australia,Part-time,128141,383196,65,Medium,286,Annually,991,8268,30,Stocks,"Foster, Williams and Russell",11.05,0.59,1.03,461463,57731,26822,19,No,1255,9/27/2021,No,0.61,Divorced,0,PhD,Good,81,Mortgage,121060,5239,0.27,Intermediate,Legacy Planning,Yes,0.98,Yes,No,No,Defined Contribution,Bucket,Online,Port Justin,5:50:39,0.73,No,14
58,Female,USA,Unemployed,99048,472526,63,High,1113,Monthly,621,1684,31,Bonds,"Thompson, Caldwell and Grant",4.18,4.38,1.52,296756,12754,62689,28,Yes,2753,2/10/2020,No,0.2,Single,3,PhD,Average,84,Rent,39416,8133,0.11,Intermediate,Legacy Planning,Yes,0.43,Yes,Yes,Yes,Defined Benefit,Dynamic,Branch,Lake Mackenziefort,21:35:26,0.51,No,27
38,Male,Germany,Unemployed,127888,441463,61,Low,1559,Monthly,499,18386,22,Bonds,Flores Inc,11.82,1.91,1.93,718239,18089,71674,25,No,9573,6/22/2020,No,0.2,Divorced,1,Bachelor's,Average,83,Mortgage,61442,1238,0.08,Beginner,Healthcare,No,0.22,No,No,Yes,Defined Contribution,Fixed,Branch,East William,6:42:19,0.38,No,6
43,Other,Canada,Part-time,53067,425026,68,Medium,493,Annually,675,11593,10,Mutual Fund,Brooks PLC,8.78,2.86,1.26,579041,25255,29673,17,Yes,4066,3/8/2023,No,0.3,Divorced,1,High School,Average,89,Rent,178680,2899,0.06,Beginner,Healthcare,Yes,0.1,Yes,No,No,Defined Contribution,Dynamic,Online,New Johnfurt,10:24:30,0.19,No,18
32,Other,Germany,Retired,122083,261503,61,Medium,1067,Quarterly,57,7171,7,ETF,"Rivera, Morrow and Little",2.77,3.54,1.5,581124,46593,60032,19,No,7663,5/22/2021,No,0.29,Widowed,2,Master's,Good,92,Rent,26400,1248,0.11,Intermediate,Home Purchase,No,0.12,Yes,Yes,No,Defined Benefit,Dynamic,ATM,Walkerton,4:18:07,0.59,No,21
38,Male,Canada,Retired,89510,239971,63,Low,1229,Quarterly,437,14514,22,Bonds,Madden Inc,11.84,1.72,0.74,197203,22220,72857,11,No,8228,10/13/2021,No,0.31,Divorced,0,High School,Good,93,Rent,137417,1582,0.24,Intermediate,Travel,No,0.26,Yes,Yes,Yes,Defined Contribution,Dynamic,Branch,North Carmenton,2:48:35,0.89,No,6
39,Other,USA,Self-employed,42158,171409,63,Medium,1249,Quarterly,186,13112,37,Mutual Fund,"Olson, Cole and Hill",3.26,1.09,1.8,791848,68620,27954,16,Yes,4736,3/10/2025,No,0.8,Married,3,PhD,Average,77,Rent,89645,8996,0.28,Expert,Legacy Planning,No,0.99,No,Yes,No,Defined Benefit,Fixed,Branch,Hannaside,10:12:06,0.61,No,3
62,Other,Canada,Part-time,105884,317680,69,High,1216,Quarterly,233,3574,31,Real Estate,Mendez-Luna,3.88,0.88,0.44,402310,60785,11689,12,No,1598,3/12/2024,No,0.61,Single,2,Master's,Poor,86,Own,91293,8800,0.19,Expert,Home Purchase,No,0.95,Yes,No,No,Defined Benefit,Dynamic,Online,Stephenfort,15:48:30,0.59,No,22
48,Female,Canada,Full-time,136052,82212,64,High,1795,Quarterly,791,13901,11,Bonds,Rogers PLC,6.3,0.65,0.45,168436,32295,58304,22,Yes,3390,5/6/2024,No,0.88,Divorced,0,High School,Good,81,Rent,129100,4215,0.23,Expert,Legacy Planning,No,0.52,No,Yes,Yes,Defined Contribution,Bucket,Online,South Andreaville,3:00:15,0.71,No,19
49,Female,USA,Retired,120890,107199,60,Medium,1690,Quarterly,695,10924,12,Bonds,"Branch, Phillips and Ortiz",6.52,3.45,0.33,907825,70504,65408,25,No,8351,4/25/2025,No,0.38,Single,0,Master's,Average,76,Rent,172959,2589,0.07,Beginner,Travel,Yes,0.83,No,Yes,Yes,Defined Benefit,Dynamic,ATM,Patrickside,9:27:46,0.73,No,18
38,Male,Australia,Retired,48508,7423,66,High,705,Annually,166,12555,4,Real Estate,Baker and Sons,10.42,1.99,0.64,729366,61201,18434,14,Yes,6777,1/31/2021,No,0.09,Divorced,1,PhD,Good,94,Rent,3020,1085,0.11,Beginner,Healthcare,Yes,0.26,Yes,No,Yes,Defined Benefit,Bucket,Online,Port Michael,22:16:15,0.19,No,17
44,Female,Australia,Retired,93840,287197,65,High,1077,Monthly,585,20162,28,Mutual Fund,"Gates, Walker and Johnson",8.35,3.63,1.97,137516,23258,23131,15,No,7504,3/3/2024,No,0.68,Divorced,1,PhD,Good,88,Rent,73568,6608,0.09,Intermediate,Legacy Planning,No,0.86,No,Yes,No,Defined Contribution,Fixed,Branch,Port Nancy,0:42:06,0.06,No,19
30,Male,Germany,Self-employed,49209,67993,68,Medium,1575,Monthly,728,21560,7,Bonds,"Strickland, Morris and Nelson",3.51,0.67,0.39,383872,65931,47422,24,Yes,1857,12/20/2024,No,0.98,Divorced,1,Bachelor's,Good,90,Rent,103055,8436,0.25,Intermediate,Travel,Yes,0.76,Yes,No,Yes,Defined Benefit,Bucket,Online,Richardland,3:44:56,0.18,No,18
33,Male,USA,Self-employed,40041,220182,66,Medium,1964,Quarterly,600,16368,16,Real Estate,Wilson-Williams,8.17,2.47,0.81,779326,71367,58098,16,No,3042,7/21/2024,No,0.66,Widowed,1,Bachelor's,Good,87,Own,305,9289,0.16,Intermediate,Home Purchase,No,0.15,No,Yes,No,Defined Benefit,Bucket,Branch,West Malloryton,11:04:55,0.22,No,9
